Date,Bullish,Neutral,Bearish
10/13/89,0.166666667,0.209302326,-0.393939394
10/20/89,0.392857143,-0.461538462,0.65
10/27/89,-0.076923077,0.178571429,-0.060606061
11/3/89,0.027777778,-0.060606061,0.032258065
11/10/89,-0.27027027,0.193548387,0.125
11/17/89,-0.111111111,-0.243243243,0.333333333
11/22/89,0.125,0.428571429,-0.3125
12/1/89,0.037037037,0,-0.03030303
12/8/89,0.107142857,0.025,-0.125
12/15/89,0.35483871,-0.268292683,0
12/22/89,-0.142857143,0.066666667,0.142857143
12/29/89,-0.027777778,-0.03125,0.0625
1/5/90,0.142857143,-0.032258065,-0.117647059
1/12/90,0.125,0.266666667,-0.433333333
1/19/90,-0.311111111,0.289473684,0.176470588
1/26/90,-0.225806452,-0.224489796,0.9
2/2/90,-0.375,-0.026315789,0.263157895
2/9/90,0.266666667,-0.189189189,0.0625
2/16/90,0.210526316,0.433333333,-0.333333333
2/23/90,0.043478261,-0.11627907,0.117647059
3/2/90,-0.125,-0.026315789,0.105263158
3/9/90,0.047619048,0.135135135,-0.142857143
3/16/90,0.136363636,-0.166666667,0.111111111
3/23/90,0.48,0.114285714,-0.4
3/30/90,-0.081081081,-0.102564103,0.291666667
4/6/90,0.117647059,0.057142857,-0.193548387
4/12/90,-0.289473684,0.513513514,-0.32
4/20/90,0.259259259,-0.232142857,0.352941176
4/27/90,-0.176470588,-0.186046512,0.608695652
5/4/90,-0.285714286,0,0.216216216
5/11/90,0.4,0.085714286,-0.244444444
5/18/90,0.321428571,-0.078947368,-0.176470588
5/25/90,0.054054054,-0.085714286,0.035714286
6/1/90,-0.051282051,-0.125,0.206896552
6/8/90,-0.054054054,0.25,-0.142857143
6/15/90,0.228571429,-0.085714286,-0.166666667
6/22/90,-0.209302326,0,0.36
6/29/90,-0.088235294,-0.03125,0.117647059
7/6/90,-0.096774194,0.096774194,0
7/13/90,0.428571429,-0.117647059,-0.210526316
7/20/90,0,0,0
7/27/90,0.3,-0.2,-0.2
8/3/90,-0.5,0.166666667,0.916666667
8/10/90,-0.038461538,-0.25,0.173913043
8/17/90,-0.28,0.095238095,0.092592593
8/24/90,0.388888889,0.043478261,-0.13559322
8/31/90,-0.08,-0.333333333,0.196078431
9/7/90,0.434782609,0.125,-0.196721311
9/14/90,-0.515151515,0.833333333,0.040816327
9/21/90,-0.1875,-0.060606061,0.098039216
9/28/90,1,-0.35483871,-0.035714286
10/5/90,-0.423076923,0.3,0.092592593
10/12/90,0.4,0.038461538,-0.118644068
10/19/90,-0.380952381,-0.259259259,0.288461538
10/26/90,0.769230769,-0.05,-0.134328358
11/2/90,-0.130434783,0.894736842,-0.24137931
11/9/90,0,-0.111111111,0.090909091
11/16/90,-0.4,0.03125,0.145833333
11/21/90,0.333333333,0.121212121,-0.145454545
11/30/90,0.375,-0.108108108,-0.042553191
12/7/90,0.181818182,0,-0.088888889
12/14/90,0.192307692,-0.060606061,-0.073170732
12/21/90,-0.483870968,0.096774194,0.315789474
12/28/90,0.875,-0.117647059,-0.2
1/4/91,0.033333333,0.3,-0.25
1/11/91,-0.290322581,-0.230769231,0.6
1/18/91,0,-0.1,0.0625
1/25/91,0.136363636,-0.074074074,-0.019607843
2/1/91,0.16,0.16,-0.16
2/8/91,0.24137931,-0.034482759,-0.142857143
2/15/91,0.277777778,0.071428571,-0.333333333
2/22/91,0.239130435,-0.333333333,-0.041666667
3/1/91,-0.122807018,-0.1,0.391304348
3/8/91,0,0.166666667,-0.09375
3/15/91,0.1,0.047619048,-0.206896552
3/22/91,-0.236363636,0.409090909,0.173913043
3/29/91,0.119047619,-0.096774194,-0.074074074
4/5/91,0.234042553,-0.214285714,-0.2
4/12/91,-0.25862069,0.454545455,0.25
4/19/91,-0.093023256,0.21875,-0.12
4/26/91,0.41025641,-0.282051282,-0.227272727
5/3/91,-0.290909091,0.178571429,0.647058824
5/10/91,-0.025641026,0.03030303,0
5/17/91,0.105263158,-0.058823529,-0.071428571
5/24/91,-0.095238095,0.21875,-0.115384615
5/31/91,0.105263158,-0.102564103,0
6/7/91,0.095238095,0.057142857,-0.260869565
6/14/91,0.02173913,-0.162162162,0.294117647
